tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun,,,
2020-04-24,HARAPAN,1,1,2,0,2,,
2020-04-25,HARAPAN,0,0,0,0,0,,
2020-04-26,HARAPAN,0,0,0,0,0,,
2020-04-27,HARAPAN,0,0,0,0,0,,
2020-04-28,HARAPAN,0,0,0,0,0,,
2020-04-29,HARAPAN,0,1,0,0,0,,
2020-04-30,HARAPAN,2,0,8,0,8,,
2020-04-01,SABIRA,0,0,1,4,5,,
2020-04-02,SABIRA,1,3,0,0,0,,
2020-04-03,SABIRA,0,0,0,0,0,,
2020-04-04,SABIRA,0,0,0,0,0,,
2020-04-05,SABIRA,0,0,0,0,0,,
2020-04-06,SABIRA,0,0,0,0,0,,
2020-04-07,SABIRA,0,1,0,3,3,,
2020-04-08,SABIRA,0,0,0,0,0,,
2020-04-09,SABIRA,0,1,0,4,4,,
2020-04-10,SABIRA,0,1,0,21,21,,
2020-04-11,SABIRA,1,0,21,0,21,,
2020-04-12,SABIRA,0,0,0,0,0,,
2020-04-13,SABIRA,0,0,0,0,0,,
2020-04-14,SABIRA,0,0,0,0,0,,
2020-04-15,SABIRA,0,1,0,9,9,,
2020-04-16,SABIRA,0,0,0,0,0,,
2020-04-17,SABIRA,1,1,15,15,30,,
2020-04-18,SABIRA,1,1,15,15,30,,
2020-04-19,SABIRA,0,0,0,0,0,,
2020-04-20,SABIRA,0,0,0,0,0,,
2020-04-21,SABIRA,0,0,0,0,0,,
2020-04-22,SABIRA,1,0,11,0,11,,
2020-04-23,SABIRA,0,0,0,0,0,,
2020-04-24,SABIRA,0,0,0,0,0,,
2020-04-25,SABIRA,0,0,0,0,0,,
2020-04-26,SABIRA,0,0,0,0,0,,
2020-04-27,SABIRA,0,0,0,0,0,,
2020-04-28,SABIRA,0,0,0,0,0,,
2020-04-29,SABIRA,0,0,0,0,0,,
2020-04-30,SABIRA,0,0,0,0,0,,
